"Notes"	"Year"	"Year Code"	"State of Residence"	"State of Residence Code"	Births
	"2016"	"2016"	"Alabama"	"01"	19029
	"2016"	"2016"	"Alaska"	"02"	3437
	"2016"	"2016"	"Arizona"	"04"	25824
	"2016"	"2016"	"Arkansas"	"05"	11788
	"2016"	"2016"	"California"	"06"	162397
	"2016"	"2016"	"Colorado"	"08"	22603
	"2016"	"2016"	"Connecticut"	"09"	12425
	"2016"	"2016"	"Delaware"	"10"	3627
	"2016"	"2016"	"District of Columbia"	"11"	3882
	"2016"	"2016"	"Florida"	"12"	76403
	"2016"	"2016"	"Georgia"	"13"	41118
	"2016"	"2016"	"Hawaii"	"15"	5671
	"2016"	"2016"	"Idaho"	"16"	6473
	"2016"	"2016"	"Illinois"	"17"	49207
	"2016"	"2016"	"Indiana"	"18"	26026
	"2016"	"2016"	"Iowa"	"19"	11922
	"2016"	"2016"	"Kansas"	"20"	11515
	"2016"	"2016"	"Kentucky"	"21"	17751
	"2016"	"2016"	"Louisiana"	"22"	19332
	"2016"	"2016"	"Maine"	"23"	4657
	"2016"	"2016"	"Maryland"	"24"	24380
	"2016"	"2016"	"Massachusetts"	"25"	25752
	"2016"	"2016"	"Michigan"	"26"	35368
	"2016"	"2016"	"Minnesota"	"27"	21359
	"2016"	"2016"	"Mississippi"	"28"	11423
	"2016"	"2016"	"Missouri"	"29"	23627
	"2016"	"2016"	"Montana"	"30"	3919
	"2016"	"2016"	"Nebraska"	"31"	7406
	"2016"	"2016"	"Nevada"	"32"	11551
	"2016"	"2016"	"New Hampshire"	"33"	4549
	"2016"	"2016"	"New Jersey"	"34"	34721
	"2016"	"2016"	"New Mexico"	"35"	7509
	"2016"	"2016"	"New York"	"36"	82034
	"2016"	"2016"	"North Carolina"	"37"	40743
	"2016"	"2016"	"North Dakota"	"38"	3457
	"2016"	"2016"	"Ohio"	"39"	43744
	"2016"	"2016"	"Oklahoma"	"40"	15959
